"RelativePath","Layer","Extension","SizeBytes","LastWriteTime"
"_CONTENT_VERIFICATION.md","other",".md","7346","09/03/2026 07:08:49"
".env","other",".env","939","15/02/2026 08:27:57"
".env.example","other",".example","547","25/02/2026 17:32:36"
".gitignore","other",".gitignore","705","25/02/2026 17:32:36"
".vscode\settings.json","other",".json","224","25/02/2026 17:32:36"
"1.png","other",".png","5449","25/02/2026 17:32:36"
"api-test.js","other",".js","1092","25/02/2026 17:32:36"
"api\index.js","other",".js","61","25/02/2026 17:32:36"
"backup-main.bat","other",".bat","1125","25/02/2026 17:32:36"
"backup-main.ps1","other",".ps1","2815","25/02/2026 17:32:36"
"backups\main_backup_2025-12-18_12-20-19.js","other",".js","462983","25/02/2026 17:32:36"
"backups\main_backup_2025-12-18_12-23-41.js","other",".js","462983","25/02/2026 17:32:36"
"backups\main_backup_2025-12-18_12-23-52.js","other",".js","463059","25/02/2026 17:32:36"
"backups\main_backup_2025-12-18_12-43-10.js","other",".js","462983","25/02/2026 17:32:36"
"backups\main_backup_2025-12-19_00-43-01.js","other",".js","463539","25/02/2026 17:32:36"
"check-setlists.js","other",".js","927","25/02/2026 17:32:36"
"check-songs-collection.js","other",".js","3140","25/02/2026 17:32:36"
"CHORD_ACCIDENTAL_NORMALIZATION.md","other",".md","6351","09/03/2026 07:08:46"
"CODE_DOCUMENTATION.md","other",".md","293320","09/03/2026 10:33:26"
"CONSOLIDATION_VERIFICATION.md","other",".md","7828","09/03/2026 07:08:49"
"CONTRIBUTING.md","other",".md","11524","25/02/2026 17:32:36"
"create-test-setlist.js","other",".js","1159","25/02/2026 17:32:36"
"debug-data-types.js","other",".js","2634","25/02/2026 17:32:36"
"debug-db.js","other",".js","3818","25/02/2026 17:32:36"
"debug-smartsetlists.js","other",".js","2765","25/02/2026 17:32:36"
"debug-test.js","other",".js","846","25/02/2026 17:32:36"
"DOCS_CONSOLIDATION_PLAN.md","other",".md","5872","09/03/2026 07:08:49"
"DOCUMENTATION_AI_GUIDE.md","other",".md","7084","09/03/2026 07:08:49"
"final_chord_test.js","other",".js","2504","25/02/2026 17:32:36"
"fix-duplicate-song-ids.js","other",".js","6236","25/02/2026 17:32:36"
"fix-powerful-spelling.js","other",".js","2578","25/02/2026 17:32:36"
"icon-192.png","other",".png","989922","25/02/2026 17:32:36"
"index.html","other",".html","89498","09/03/2026 10:29:56"
"LOOP_PLAYER_DOCUMENTATION.md","other",".md","26682","09/03/2026 09:35:35"
"loop-manager.html","other",".html","20247","09/03/2026 10:17:57"
"loop-manager.js","other",".js","25781","09/03/2026 10:17:58"
"loop-player-pad-soundtouch.js","other",".js","10530","25/02/2026 17:32:36"
"loop-player-pad-tonejs.js","other",".js","11299","25/02/2026 17:32:36"
"loop-player-pad-ui.js","other",".js","55866","09/03/2026 08:28:39"
"loop-player-pad.js","other",".js","44535","09/03/2026 07:21:20"
"loop-player-ui.DEPRECATED.js","other",".js","23602","25/02/2026 17:32:36"
"loop-player.js","other",".js","7019","25/02/2026 17:32:36"
"loops\3_4_3_4_slow_drum_slow_FILL1.wav","other",".wav","267186","09/03/2026 07:08:49"
"loops\3_4_3_4_slow_drum_slow_FILL2.wav","other",".wav","267186","09/03/2026 07:08:49"
"loops\3_4_3_4_slow_drum_slow_FILL3.wav","other",".wav","267186","09/03/2026 07:08:49"
"loops\3_4_3_4_slow_drum_slow_LOOP1.wav","other",".wav","267186","09/03/2026 07:08:49"
"loops\3_4_3_4_slow_drum_slow_LOOP2.wav","other",".wav","267182","09/03/2026 07:08:49"
"loops\3_4_3_4_slow_drum_slow_LOOP3.wav","other",".wav","267186","09/03/2026 07:08:49"
"loops\congo_6_8_slow_acoustic_FILL1.wav","other",".wav","229602","09/03/2026 07:08:49"
"loops\congo_6_8_slow_acoustic_FILL2.wav","other",".wav","227146","09/03/2026 07:08:49"
"loops\congo_6_8_slow_acoustic_FILL3.wav","other",".wav","227126","09/03/2026 07:08:49"
"loops\congo_6_8_slow_acoustic_LOOP1.wav","other",".wav","225534","09/03/2026 07:08:49"
"loops\congo_6_8_slow_acoustic_LOOP2.wav","other",".wav","230144","09/03/2026 07:08:49"
"loops\congo_6_8_slow_acoustic_LOOP3.wav","other",".wav","226448","09/03/2026 07:08:49"
"loops\dadra_3_4_medium_dholak_FILL1.wav","other",".wav","218100","25/02/2026 17:32:36"
"loops\dadra_3_4_medium_dholak_FILL2.wav","other",".wav","434098","25/02/2026 17:32:36"
"loops\dadra_3_4_medium_dholak_FILL3.wav","other",".wav","434100","25/02/2026 17:32:36"
"loops\dadra_3_4_medium_dholak_LOOP1.wav","other",".wav","434100","25/02/2026 17:32:36"
"loops\dadra_3_4_medium_dholak_LOOP2.wav","other",".wav","434096","25/02/2026 17:32:36"
"loops\dadra_3_4_medium_dholak_LOOP3.wav","other",".wav","434100","25/02/2026 17:32:36"
"loops\dadra_3_4_slow_ghazal_LOOP1.wav","other",".wav","245888","28/02/2026 06:45:28"
"loops\deepchandi_14_8_slow_classical_FILL1.wav","other",".wav","646690","25/02/2026 17:32:36"
"loops\deepchandi_14_8_slow_classical_FILL2.wav","other",".wav","646690","25/02/2026 17:32:36"
"loops\deepchandi_14_8_slow_classical_LOOP1.wav","other",".wav","646688","25/02/2026 17:32:36"
"loops\deepchandi_14_8_slow_classical_LOOP2.wav","other",".wav","646688","25/02/2026 17:32:36"
"loops\keherwa_4_4_fast_dholak_FILL1.wav","other",".wav","376172","09/03/2026 07:08:49"
"loops\keherwa_4_4_fast_dholak_FILL2.wav","other",".wav","362874","09/03/2026 07:08:49"
"loops\keherwa_4_4_fast_dholak_FILL3.wav","other",".wav","362874","09/03/2026 07:08:49"
"loops\keherwa_4_4_fast_dholak_LOOP1.wav","other",".wav","370782","09/03/2026 07:08:49"
"loops\keherwa_4_4_fast_dholak_LOOP2.wav","other",".wav","388938","09/03/2026 07:08:49"
"loops\keherwa_4_4_fast_dholak_LOOP3.wav","other",".wav","392906","09/03/2026 07:08:49"
"loops\keherwa_4_4_medium_dholak_FILL1.wav","other",".wav","483198","28/02/2026 06:41:27"
"loops\keherwa_4_4_medium_dholak_FILL2.wav","other",".wav","483196","28/02/2026 06:39:40"
"loops\keherwa_4_4_medium_dholak_FILL3.wav","other",".wav","483200","28/02/2026 06:39:50"
"loops\keherwa_4_4_medium_dholak_LOOP1.wav","other",".wav","483198","28/02/2026 06:38:09"
"loops\keherwa_4_4_medium_dholak_LOOP2.wav","other",".wav","483198","28/02/2026 06:38:29"
"loops\keherwa_4_4_medium_dholak_LOOP3.wav","other",".wav","483198","28/02/2026 06:39:01"
"loops\keherwa_4_4_slow_bollywood_FILL1.wav","other",".wav","420546","09/03/2026 07:08:49"
"loops\keherwa_4_4_slow_bollywood_FILL2.wav","other",".wav","420546","09/03/2026 07:08:49"
"loops\keherwa_4_4_slow_bollywood_FILL3.wav","other",".wav","420546","09/03/2026 07:08:49"
"loops\keherwa_4_4_slow_bollywood_LOOP1.wav","other",".wav","420546","09/03/2026 07:08:49"
"loops\keherwa_4_4_slow_bollywood_LOOP2.wav","other",".wav","420546","09/03/2026 07:08:49"
"loops\keherwa_4_4_slow_bollywood_LOOP3.wav","other",".wav","420546","09/03/2026 07:08:49"
"loops\loops-metadata.json","other",".json","33108","09/03/2026 09:14:37"
"loops\melodies\atmosphere\atmosphere_A.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_A#.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_B.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_C.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_C#.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_D.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_D#.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_E.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_F.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_F#.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_G.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\atmosphere\atmosphere_G#.wav","other",".wav","924218","09/03/2026 07:08:49"
"loops\melodies\tanpura\tanpura_A.wav","other",".wav","951693","25/02/2026 17:32:36"
"loops\melodies\tanpura\tanpura_A#.wav","other",".wav","962142","25/02/2026 17:32:36"
"loops\melodies\tanpura\tanpura_B.wav","other",".wav","961306","25/02/2026 17:32:36"
"loops\melodies\tanpura\tanpura_C.wav","other",".wav","956709","25/02/2026 17:32:36"
"loops\melodies\tanpura\tanpura_C#.wav","other",".wav","1051167","25/02/2026 17:32:36"
"loops\melodies\tanpura\tanpura_D.wav","other",".wav","951693","25/02/2026 17:32:36"
"loops\melodies\tanpura\tanpura_D#.wav","other",".wav","974263","25/02/2026 17:32:36"
"loops\melodies\tanpura\tanpura_E.wav","other",".wav","998504","25/02/2026 17:32:36"
"loops\melodies\tanpura\tanpura_F.wav","other",".wav","970083","25/02/2026 17:32:36"
"loops\melodies\tanpura\tanpura_F#.wav","other",".wav","953783","25/02/2026 17:32:36"
