"RelativePath","Layer","Extension","SizeBytes","LastWriteTime"
".env","other",".env","706","01/02/2026 06:09:30"
".env.example","other",".example","163","01/02/2026 06:10:50"
".env.local","other",".local","1790","03/02/2026 15:30:23"
".gitignore","other",".gitignore","151","03/02/2026 15:30:23"
".vercel-disable-protection","other",".vercel-disable-protection","170","01/02/2026 06:10:50"
"api-test.html","other",".html","2435","01/02/2026 06:10:50"
"api\_auth.js","other",".js","2334","03/02/2026 16:10:32"
"api\_db.js","other",".js","854","03/02/2026 15:12:54"
"api\forgot-password.js","other",".js","7157","03/02/2026 16:56:44"
"api\global-setlists.js","other",".js","3288","03/02/2026 16:10:32"
"api\health.js","other",".js","1330","03/02/2026 16:10:32"
"api\login.js","other",".js","2033","03/02/2026 16:10:32"
"api\my-setlists.js","other",".js","3146","03/02/2026 16:10:32"
"api\recommendation-weights.js","other",".js","1856","03/02/2026 16:10:32"
"api\register.js","other",".js","2322","03/02/2026 16:10:32"
"api\reset-password.js","other",".js","4861","03/02/2026 16:26:24"
"api\songs.js","other",".js","6903","03/02/2026 16:10:32"
"api\userdata.js","other",".js","1750","03/02/2026 16:10:32"
"api\users.js","other",".js","1857","03/02/2026 16:10:32"
"BACKEND_FIX_SUMMARY.md","other",".md","6136","03/02/2026 15:02:45"
"backend-debug.html","other",".html","3415","01/02/2026 06:10:50"
"backend-debug.js","other",".js","1747","01/02/2026 06:10:50"
"check-vercel-deployment.html","deployment",".html","10613","01/02/2026 06:10:50"
"cleanup-mood-data.js","other",".js","8979","01/02/2026 06:10:50"
"cleanup-mood-tool.html","other",".html","8705","01/02/2026 06:10:50"
"clear-cache-instructions.html","other",".html","8714","01/02/2026 06:10:50"
"clear-sw.html","other",".html","3855","01/02/2026 06:10:50"
"consolidate-mood-fields.js","other",".js","11056","01/02/2026 06:10:50"
"consolidate-mood-tool.html","other",".html","11014","01/02/2026 06:10:50"
"debug-server.js","other",".js","3603","01/02/2026 06:10:50"
"deploy-vercel.ps1","deployment",".ps1","4101","03/02/2026 15:12:59"
"DEPLOYMENT.md","deployment",".md","2517","01/02/2026 06:10:50"
"env.example","other",".example","550","01/02/2026 06:10:50"
"FEATURE_MIGRATION_INTAKE.md","data",".md","1606","09/03/2026 10:41:23"
"FEATURE_MIGRATION_PLAYBOOK.md","data",".md","3431","09/03/2026 10:41:23"
"icon-192.png","other",".png","272731","01/02/2026 06:10:50"
"icon-512.png","other",".png","277442","01/02/2026 06:10:50"
"index.html","other",".html","72509","01/02/2026 06:10:50"
"log-backend.js","other",".js","1024","01/02/2026 06:10:50"
"main-organized.js","other",".js","172812","01/02/2026 06:10:50"
"main-organized.js.bak","other",".bak","89385","01/02/2026 06:10:50"
"main1.js","other",".js","481395","03/02/2026 19:34:55"
"manifest.json","other",".json","1353","01/02/2026 06:10:50"
"migrate-database.js","data",".js","3533","01/02/2026 06:10:50"
"migrate-moods.js","data",".js","23569","01/02/2026 06:10:50"
"migration-manifest.txt","data",".txt","258","09/03/2026 10:41:40"
"migration-tool.html","data",".html","6966","01/02/2026 06:10:50"
"minimal-server.js","other",".js","494","01/02/2026 06:10:50"
"mobile.html","other",".html","127554","01/02/2026 10:35:03"
"package-lock.json","config",".json","70183","01/02/2026 06:18:35"
"package.json","config",".json","1054","03/02/2026 16:10:32"
"PASSWORD_RESET_FIX.md","other",".md","4214","01/02/2026 06:10:50"
"PRODUCTION_PASSWORD_RESET_FIX.md","other",".md","2755","01/02/2026 06:10:50"
"production-config.js","other",".js","1668","01/02/2026 06:10:50"
"production-test.html","other",".html","6397","01/02/2026 06:10:50"
"README.md","other",".md","92","01/02/2026 06:10:50"
"RENDER_DEPLOYMENT.md","deployment",".md","2895","01/02/2026 06:10:50"
"RENDER_FIX.md","other",".md","2923","01/02/2026 06:10:50"
"render.yaml","deployment",".yaml","607","01/02/2026 06:10:50"
"server.js","other",".js","36776","01/02/2026 06:28:24"
"service-worker.js","other",".js","13465","01/02/2026 06:10:50"
"spinner.html","other",".html","417","01/02/2026 06:10:50"
"styles.css","other",".css","158011","01/02/2026 06:10:50"
"tab-test.html","other",".html","6359","01/02/2026 06:10:50"
"test-api-endpoints.html","other",".html","31592","03/02/2026 16:26:24"
"test-connection.js","other",".js","1313","01/02/2026 06:10:50"
"test-password-reset-cors.html","other",".html","6093","01/02/2026 06:10:50"
"test-password-reset.js","other",".js","1167","01/02/2026 06:10:50"
"test-production-only.js","other",".js","1688","01/02/2026 06:10:50"
"test-production.js","other",".js","2362","01/02/2026 06:10:50"
"test-server.js","other",".js","345","01/02/2026 06:10:50"
"test-sms.js","other",".js","1297","01/02/2026 06:10:50"
"test-vercel-debug.js","other",".js","1984","01/02/2026 06:10:50"
"test-vercel-deploy.ps1","deployment",".ps1","2831","01/02/2026 06:10:50"
"test-vercel-password-reset.js","other",".js","2455","01/02/2026 06:10:50"
"test-vercel-test-endpoint.js","other",".js","2202","01/02/2026 06:10:50"
"test-vercel.js","other",".js","2952","01/02/2026 06:10:50"
"tools\build-migration-bundle.ps1","data",".ps1","3022","09/03/2026 10:42:12"
"tools\export-repo-inventory.ps1","other",".ps1","5141","09/03/2026 10:42:09"
"utils\auth.js","other",".js","10212","01/02/2026 06:10:50"
"VERCEL_COMPLETE.md","other",".md","5799","03/02/2026 15:13:00"
"VERCEL_ENV_SETUP.md","other",".md","1272","01/02/2026 06:10:50"
"VERCEL_SETUP.md","other",".md","6392","03/02/2026 15:12:59"
"vercel.json","deployment",".json","2054","03/02/2026 16:10:32"
"worship-songs (1).json","other",".json","111694","01/02/2026 06:10:50"
